"id","device_code","breath_rate","heart_rate","event","timestamp","sleep_stage"
22582405,w4lc57jlk4n4d,15,71,,1762415025,2
22582406,w4lc57jlk4n4d,15,71,,1762415025,2
22582393,w4lc57jlk4n4d,14,74,,1762415015,2
22582394,w4lc57jlk4n4d,14,74,,1762415015,2
22582381,w4lc57jlk4n4d,15,73,,1762415005,2
22582382,w4lc57jlk4n4d,15,73,,1762415005,2
22582369,w4lc57jlk4n4d,14,71,,1762414994,2
22582370,w4lc57jlk4n4d,14,71,,1762414994,2
22582357,w4lc57jlk4n4d,15,73,,1762414984,2
22582358,w4lc57jlk4n4d,15,73,,1762414984,2
22582345,w4lc57jlk4n4d,14,73,,1762414974,2
22582346,w4lc57jlk4n4d,14,73,,1762414974,2
22582333,w4lc57jlk4n4d,14,72,,1762414964,2
22582334,w4lc57jlk4n4d,14,72,,1762414964,2
22582321,w4lc57jlk4n4d,15,73,,1762414954,2
22582322,w4lc57jlk4n4d,15,73,,1762414954,2
22582309,w4lc57jlk4n4d,14,76,,1762414944,2
22582310,w4lc57jlk4n4d,14,76,,1762414944,2
22582297,w4lc57jlk4n4d,15,74,,1762414934,2
22582298,w4lc57jlk4n4d,15,74,,1762414934,2
22582285,w4lc57jlk4n4d,14,75,,1762414924,2
22582286,w4lc57jlk4n4d,14,75,,1762414924,2
22582273,w4lc57jlk4n4d,15,73,,1762414914,2
22582274,w4lc57jlk4n4d,15,73,,1762414914,2
22582261,w4lc57jlk4n4d,14,73,,1762414904,2
22582262,w4lc57jlk4n4d,14,73,,1762414904,2
22582249,w4lc57jlk4n4d,15,73,,1762414894,2
22582250,w4lc57jlk4n4d,15,73,,1762414894,2
22582237,w4lc57jlk4n4d,15,71,,1762414884,2
22582238,w4lc57jlk4n4d,15,71,,1762414884,2
22582225,w4lc57jlk4n4d,15,71,,1762414874,2
22582226,w4lc57jlk4n4d,15,71,,1762414874,2
22582213,w4lc57jlk4n4d,14,72,,1762414864,2
22582214,w4lc57jlk4n4d,14,72,,1762414864,2
22582201,w4lc57jlk4n4d,14,73,,1762414854,2
22582202,w4lc57jlk4n4d,14,73,,1762414854,2
22582191,w4lc57jlk4n4d,15,69,,1762414844,2
22582192,w4lc57jlk4n4d,15,69,,1762414844,2
22582179,w4lc57jlk4n4d,15,73,,1762414834,2
22582180,w4lc57jlk4n4d,15,73,,1762414834,2
22582167,w4lc57jlk4n4d,14,71,,1762414824,2
22582168,w4lc57jlk4n4d,14,71,,1762414824,2
22582155,w4lc57jlk4n4d,14,72,,1762414814,2
22582156,w4lc57jlk4n4d,14,72,,1762414814,2
22582143,w4lc57jlk4n4d,15,71,,1762414804,2
22582144,w4lc57jlk4n4d,15,71,,1762414804,2
22582131,w4lc57jlk4n4d,16,71,,1762414794,2
22582132,w4lc57jlk4n4d,16,71,,1762414794,2
22582119,w4lc57jlk4n4d,16,69,,1762414784,2
22582120,w4lc57jlk4n4d,16,69,,1762414784,2
22582107,w4lc57jlk4n4d,14,73,,1762414774,2
22582108,w4lc57jlk4n4d,14,73,,1762414774,2
22582093,w4lc57jlk4n4d,14,68,,1762414764,2
22582094,w4lc57jlk4n4d,14,68,,1762414764,2
22582081,w4lc57jlk4n4d,13,63,,1762414754,2
22582082,w4lc57jlk4n4d,13,63,,1762414754,2
22582069,w4lc57jlk4n4d,13,69,,1762414744,2
22582070,w4lc57jlk4n4d,13,69,,1762414744,2
22582057,w4lc57jlk4n4d,13,64,,1762414734,2
22582058,w4lc57jlk4n4d,13,64,,1762414734,2
22582045,w4lc57jlk4n4d,13,69,,1762414724,2
22582046,w4lc57jlk4n4d,13,69,,1762414724,2
22582033,w4lc57jlk4n4d,14,68,,1762414714,2
22582034,w4lc57jlk4n4d,14,68,,1762414714,2
22582021,w4lc57jlk4n4d,14,65,,1762414704,2
22582022,w4lc57jlk4n4d,14,65,,1762414704,2
22582009,w4lc57jlk4n4d,14,68,,1762414694,2
22582010,w4lc57jlk4n4d,14,68,,1762414694,2
22581997,w4lc57jlk4n4d,13,61,,1762414684,2
22581998,w4lc57jlk4n4d,13,61,,1762414684,2
22581985,w4lc57jlk4n4d,15,66,,1762414674,2
22581986,w4lc57jlk4n4d,15,66,,1762414674,2
22581973,w4lc57jlk4n4d,17,63,,1762414664,2
22581974,w4lc57jlk4n4d,17,63,,1762414664,2
22581961,w4lc57jlk4n4d,15,58,,1762414654,2
22581962,w4lc57jlk4n4d,15,58,,1762414654,2
