"id","device_id","time_stamp","left_right","breath","heart","turn_over","body_move","sit_up","init_status","bed_status","signal_quality"
22583991,w4lc57jlk4n4d,1762416349,0,14,74,0,0,0,0,0,0
22583992,w4lc57jlk4n4d,1762416349,0,14,74,0,0,0,0,0,0
22583979,w4lc57jlk4n4d,1762416339,0,14,71,0,0,0,0,0,0
22583980,w4lc57jlk4n4d,1762416339,0,14,71,0,0,0,0,0,0
22583967,w4lc57jlk4n4d,1762416329,0,14,74,0,0,0,0,0,0
22583968,w4lc57jlk4n4d,1762416329,0,14,74,0,0,0,0,0,0
22583955,w4lc57jlk4n4d,1762416319,0,13,70,0,0,0,0,0,0
22583956,w4lc57jlk4n4d,1762416319,0,13,70,0,0,0,0,0,0
22583943,w4lc57jlk4n4d,1762416309,0,13,68,0,0,0,0,0,0
22583944,w4lc57jlk4n4d,1762416309,0,13,68,0,0,0,0,0,0
22583931,w4lc57jlk4n4d,1762416299,0,13,66,0,0,0,0,0,0
22583932,w4lc57jlk4n4d,1762416299,0,13,66,0,0,0,0,0,0
22583919,w4lc57jlk4n4d,1762416289,0,13,66,0,0,0,0,0,0
22583920,w4lc57jlk4n4d,1762416289,0,13,66,0,0,0,0,0,0
22583907,w4lc57jlk4n4d,1762416279,0,14,67,0,0,0,0,0,0
22583908,w4lc57jlk4n4d,1762416279,0,14,67,0,0,0,0,0,0
22583895,w4lc57jlk4n4d,1762416269,0,15,71,0,0,0,0,0,0
22583896,w4lc57jlk4n4d,1762416269,0,15,71,0,0,0,0,0,0
22583887,w4lc57jlk4n4d,1762416263,0,15,71,0,0,0,0,0,0
22583888,w4lc57jlk4n4d,1762416263,0,15,71,0,0,0,0,0,0
22583881,w4lc57jlk4n4d,1762416259,0,17,68,1,1,0,0,0,0
22583882,w4lc57jlk4n4d,1762416259,0,17,68,1,1,0,0,0,0
22583869,w4lc57jlk4n4d,1762416249,0,16,68,0,3,0,0,0,0
22583870,w4lc57jlk4n4d,1762416249,0,16,68,0,3,0,0,0,0
22583857,w4lc57jlk4n4d,1762416239,0,17,68,0,3,0,0,0,0
22583858,w4lc57jlk4n4d,1762416239,0,17,68,0,3,0,0,0,0
22583845,w4lc57jlk4n4d,1762416229,0,17,68,0,2,0,0,0,0
22583846,w4lc57jlk4n4d,1762416229,0,17,68,0,2,0,0,0,0
22583833,w4lc57jlk4n4d,1762416219,0,17,68,0,0,0,0,0,0
22583834,w4lc57jlk4n4d,1762416219,0,17,68,0,0,0,0,0,0
22583821,w4lc57jlk4n4d,1762416209,0,15,71,0,0,0,0,0,0
22583822,w4lc57jlk4n4d,1762416209,0,15,71,0,0,0,0,0,0
22583809,w4lc57jlk4n4d,1762416199,0,15,78,0,0,0,0,0,0
22583810,w4lc57jlk4n4d,1762416199,0,15,78,0,0,0,0,0,0
22583797,w4lc57jlk4n4d,1762416189,0,15,76,0,0,0,0,0,0
22583798,w4lc57jlk4n4d,1762416189,0,15,76,0,0,0,0,0,0
22583785,w4lc57jlk4n4d,1762416179,0,15,75,0,0,0,0,0,0
22583786,w4lc57jlk4n4d,1762416179,0,15,75,0,0,0,0,0,0
22583773,w4lc57jlk4n4d,1762416169,0,16,77,0,0,0,0,0,0
22583774,w4lc57jlk4n4d,1762416169,0,16,77,0,0,0,0,0,0
22583759,w4lc57jlk4n4d,1762416158,0,15,76,0,0,0,0,0,0
22583760,w4lc57jlk4n4d,1762416158,0,15,76,0,0,0,0,0,0
22583749,w4lc57jlk4n4d,1762416148,0,15,75,0,0,0,0,0,0
22583750,w4lc57jlk4n4d,1762416148,0,15,75,0,0,0,0,0,0
22583737,w4lc57jlk4n4d,1762416138,0,15,78,0,0,0,0,0,0
22583738,w4lc57jlk4n4d,1762416138,0,15,78,0,0,0,0,0,0
22583725,w4lc57jlk4n4d,1762416128,0,16,77,0,0,0,0,0,0
22583726,w4lc57jlk4n4d,1762416128,0,16,77,0,0,0,0,0,0
22583713,w4lc57jlk4n4d,1762416118,0,15,79,0,0,0,0,0,0
22583714,w4lc57jlk4n4d,1762416118,0,15,79,0,0,0,0,0,0
22583701,w4lc57jlk4n4d,1762416108,0,15,77,0,0,0,0,0,0
22583702,w4lc57jlk4n4d,1762416108,0,15,77,0,0,0,0,0,0
22583689,w4lc57jlk4n4d,1762416098,0,16,73,0,0,0,0,0,0
22583690,w4lc57jlk4n4d,1762416098,0,16,73,0,0,0,0,0,0
22583677,w4lc57jlk4n4d,1762416088,0,16,76,0,0,0,0,0,0
22583678,w4lc57jlk4n4d,1762416088,0,16,76,0,0,0,0,0,0
22583665,w4lc57jlk4n4d,1762416078,0,15,70,0,0,0,0,0,0
22583666,w4lc57jlk4n4d,1762416078,0,15,70,0,0,0,0,0,0
22583653,w4lc57jlk4n4d,1762416068,0,15,73,0,0,0,0,0,0
22583654,w4lc57jlk4n4d,1762416068,0,15,73,0,0,0,0,0,0
22583641,w4lc57jlk4n4d,1762416058,0,15,76,0,0,0,0,0,0
22583642,w4lc57jlk4n4d,1762416058,0,15,76,0,0,0,0,0,0
22583629,w4lc57jlk4n4d,1762416048,0,15,78,0,0,0,0,0,0
22583630,w4lc57jlk4n4d,1762416048,0,15,78,0,0,0,0,0,0
22583617,w4lc57jlk4n4d,1762416038,0,15,76,0,0,0,0,0,0
22583618,w4lc57jlk4n4d,1762416038,0,15,76,0,0,0,0,0,0
22583605,w4lc57jlk4n4d,1762416028,0,15,76,0,0,0,0,0,0
22583606,w4lc57jlk4n4d,1762416028,0,15,76,0,0,0,0,0,0
22583593,w4lc57jlk4n4d,1762416018,0,15,77,0,0,0,0,0,0
22583594,w4lc57jlk4n4d,1762416018,0,15,77,0,0,0,0,0,0
22583581,w4lc57jlk4n4d,1762416008,0,14,78,0,0,0,0,0,0
22583582,w4lc57jlk4n4d,1762416008,0,14,78,0,0,0,0,0,0
22583569,w4lc57jlk4n4d,1762415998,0,15,77,0,0,0,0,0,0
22583570,w4lc57jlk4n4d,1762415998,0,15,77,0,0,0,0,0,0
22583557,w4lc57jlk4n4d,1762415988,0,15,76,0,0,0,0,0,0
22583558,w4lc57jlk4n4d,1762415988,0,15,76,0,0,0,0,0,0
22583545,w4lc57jlk4n4d,1762415978,0,14,74,0,0,0,0,0,0
22583546,w4lc57jlk4n4d,1762415978,0,14,74,0,0,0,0,0,0
22583533,w4lc57jlk4n4d,1762415968,0,14,70,0,0,0,0,0,0
22583534,w4lc57jlk4n4d,1762415968,0,14,70,0,0,0,0,0,0
22583521,w4lc57jlk4n4d,1762415958,0,14,75,0,0,0,0,0,0
22583522,w4lc57jlk4n4d,1762415958,0,14,75,0,0,0,0,0,0
22583509,w4lc57jlk4n4d,1762415948,0,14,76,0,0,0,0,0,0
22583510,w4lc57jlk4n4d,1762415948,0,14,76,0,0,0,0,0,0
22583497,w4lc57jlk4n4d,1762415938,0,15,77,0,0,0,0,0,0
22583498,w4lc57jlk4n4d,1762415938,0,15,77,0,0,0,0,0,0
22583485,w4lc57jlk4n4d,1762415928,0,15,76,0,0,0,0,0,0
22583486,w4lc57jlk4n4d,1762415928,0,15,76,0,0,0,0,0,0
22583473,w4lc57jlk4n4d,1762415918,0,15,77,0,0,0,0,0,0
22583474,w4lc57jlk4n4d,1762415918,0,15,77,0,0,0,0,0,0
22583461,w4lc57jlk4n4d,1762415908,0,15,75,0,0,0,0,0,0
22583462,w4lc57jlk4n4d,1762415908,0,15,75,0,0,0,0,0,0
22583449,w4lc57jlk4n4d,1762415898,0,15,74,0,0,0,0,0,0
22583450,w4lc57jlk4n4d,1762415898,0,15,74,0,0,0,0,0,0
22583437,w4lc57jlk4n4d,1762415888,0,15,78,0,0,0,0,0,0
22583438,w4lc57jlk4n4d,1762415888,0,15,78,0,0,0,0,0,0
22583425,w4lc57jlk4n4d,1762415878,0,15,79,0,0,0,0,0,0
22583426,w4lc57jlk4n4d,1762415878,0,15,79,0,0,0,0,0,0
22583413,w4lc57jlk4n4d,1762415868,0,15,77,0,0,0,0,0,0
22583414,w4lc57jlk4n4d,1762415868,0,15,77,0,0,0,0,0,0
22583401,w4lc57jlk4n4d,1762415858,0,14,80,0,0,0,0,0,0
22583402,w4lc57jlk4n4d,1762415858,0,14,80,0,0,0,0,0,0
22583391,w4lc57jlk4n4d,1762415848,0,14,78,0,0,0,0,0,0
22583392,w4lc57jlk4n4d,1762415848,0,14,78,0,0,0,0,0,0
22583379,w4lc57jlk4n4d,1762415837,0,13,75,0,0,0,0,0,0
22583380,w4lc57jlk4n4d,1762415837,0,13,75,0,0,0,0,0,0
22583365,w4lc57jlk4n4d,1762415827,0,13,78,0,0,0,0,0,0
22583366,w4lc57jlk4n4d,1762415827,0,13,78,0,0,0,0,0,0
22583353,w4lc57jlk4n4d,1762415817,0,13,77,0,0,0,0,0,0
22583354,w4lc57jlk4n4d,1762415817,0,13,77,0,0,0,0,0,0
22583341,w4lc57jlk4n4d,1762415807,0,14,77,0,0,0,0,0,0
22583342,w4lc57jlk4n4d,1762415807,0,14,77,0,0,0,0,0,0
22583329,w4lc57jlk4n4d,1762415797,0,14,75,0,0,0,0,0,0
22583330,w4lc57jlk4n4d,1762415797,0,14,75,0,0,0,0,0,0
22583317,w4lc57jlk4n4d,1762415787,0,16,71,0,0,0,0,0,0
22583318,w4lc57jlk4n4d,1762415787,0,16,71,0,0,0,0,0,0
22583305,w4lc57jlk4n4d,1762415777,0,15,72,0,0,0,0,0,0
22583306,w4lc57jlk4n4d,1762415777,0,15,72,0,0,0,0,0,0
22583293,w4lc57jlk4n4d,1762415767,0,15,74,0,0,0,0,0,0
22583294,w4lc57jlk4n4d,1762415767,0,15,74,0,0,0,0,0,0
22583281,w4lc57jlk4n4d,1762415757,0,15,78,0,0,0,0,0,0
22583282,w4lc57jlk4n4d,1762415757,0,15,78,0,0,0,0,0,0
22583269,w4lc57jlk4n4d,1762415747,0,15,76,0,0,0,0,0,0
22583270,w4lc57jlk4n4d,1762415747,0,15,76,0,0,0,0,0,0
22583257,w4lc57jlk4n4d,1762415737,0,16,71,0,0,0,0,0,0
22583258,w4lc57jlk4n4d,1762415737,0,16,71,0,0,0,0,0,0
22583245,w4lc57jlk4n4d,1762415727,0,15,74,0,0,0,0,0,0
22583246,w4lc57jlk4n4d,1762415727,0,15,74,0,0,0,0,0,0
22583233,w4lc57jlk4n4d,1762415717,0,15,74,0,0,0,0,0,0
22583234,w4lc57jlk4n4d,1762415717,0,15,74,0,0,0,0,0,0
22583221,w4lc57jlk4n4d,1762415707,0,16,76,0,0,0,0,0,0
22583222,w4lc57jlk4n4d,1762415707,0,16,76,0,0,0,0,0,0
22583209,w4lc57jlk4n4d,1762415697,0,16,75,0,0,0,0,0,0
22583210,w4lc57jlk4n4d,1762415697,0,16,75,0,0,0,0,0,0
22583197,w4lc57jlk4n4d,1762415687,0,15,78,0,0,0,0,0,0
22583198,w4lc57jlk4n4d,1762415687,0,15,78,0,0,0,0,0,0
22583185,w4lc57jlk4n4d,1762415677,0,15,79,0,0,0,0,0,0
22583186,w4lc57jlk4n4d,1762415677,0,15,79,0,0,0,0,0,0
22583173,w4lc57jlk4n4d,1762415667,0,15,72,0,0,0,0,0,0
22583174,w4lc57jlk4n4d,1762415667,0,15,72,0,0,0,0,0,0
22583161,w4lc57jlk4n4d,1762415657,0,14,72,0,0,0,0,0,0
22583162,w4lc57jlk4n4d,1762415657,0,14,72,0,0,0,0,0,0
22583149,w4lc57jlk4n4d,1762415647,0,15,75,0,0,0,0,0,0
22583150,w4lc57jlk4n4d,1762415647,0,15,75,0,0,0,0,0,0
22583137,w4lc57jlk4n4d,1762415637,0,15,75,0,0,0,0,0,0
